,title,price,year,link,brand,age
20,2006 mitsubishi endeavor awd ls,3500,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-mitsubishi/7784157813.html,mitsubishi,19.0
21,2019 hyundai kona excellent condition,15000,2019.0,https://charlottesville.craigslist.org/cto/d/barboursville-2019-hyundai-kona/7783977835.html,missing,6.0
22,2011 bmw 328i xdrive sedan 4d,6000,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-bmw-328i-xdrive/7783905386.html,bmw,14.0
23,2008 subaru outback,5800,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-subaru-outback/7783889756.html,subaru,17.0
24,2004 dodge durango,2000,2004.0,https://charlottesville.craigslist.org/cto/d/stanardsville-2004-dodge-durango/7783863430.html,dodge,21.0
25,2012 ford focus se,3500,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-ford-focus-se/7783801610.html,ford,13.0
26,2008 ford escape xlt 4x4 3.0,1500,2008.0,https://charlottesville.craigslist.org/cto/d/earlysville-2008-ford-escape-xlt-4x4-30/7783759838.html,ford,17.0
27,mercedes 560sl,15000,,https://charlottesville.craigslist.org/cto/d/charlottesville-mercedes-560sl/7783648170.html,missing,
28,2013 honda fit sport hatchback,8700,2013.0,https://charlottesville.craigslist.org/cto/d/afton-2013-honda-fit-sport-hatchback/7783561831.html,honda,12.0
29,1986 ford e350 centurion,11500,1986.0,https://charlottesville.craigslist.org/cto/d/helena-1986-ford-e350-centurion/7783532418.html,ford,39.0
30,2014 honda odyssey van black,12000,2014.0,https://charlottesville.craigslist.org/cto/d/scottsville-2014-honda-odyssey-van-black/7783477164.html,honda,11.0
31,military truck w/crane,6200,,https://charlottesville.craigslist.org/cto/d/free-union-military-truck-crane/7783324663.html,missing,
32,volvo s40 4dr sedan 2004 power everything sun roof,2000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-volvo-s40-4dr-sedan/7783322114.html,volvo,21.0
33,"2004 honda accord for sale $5,500 or best offer",5500,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-honda-accord-for/7783266346.html,honda,21.0
34,2003 honda pilot,1000,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2003-honda-pilot/7783239203.html,honda,22.0
35,2002 chevy tahoe 4wd,4000,2002.0,https://charlottesville.craigslist.org/cto/d/montpelier-station-2002-chevy-tahoe-4wd/7783219894.html,chevy,23.0
36,2008 nissan altima (read description),1350,2008.0,https://charlottesville.craigslist.org/cto/d/ruckersville-2008-nissan-altima-read-de/7783180089.html,missing,17.0
37,2016 tesla model s 90d,26000,2016.0,https://charlottesville.craigslist.org/cto/d/crozet-2016-tesla-model-90d/7783168254.html,tesla,9.0
38,2010 volkswagen golf,4950,2010.0,https://charlottesville.craigslist.org/cto/d/henrico-2010-volkswagen-golf/7783125171.html,volkswagen,15.0
39,1963 /1965 triumph tr4 convertible,2250,1963.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-triumph-tr4-convertible/7782965513.html,missing,62.0
40,1998 jeep grande cherokee laredo,3500,1998.0,https://charlottesville.craigslist.org/cto/d/waynesboro-1998-jeep-grande-cherokee/7782899240.html,jeep,27.0
41,1996 chevrolet k1500 z71,6500,1996.0,https://charlottesville.craigslist.org/cto/d/keswick-1996-chevrolet-k1500-z71/7782892110.html,chevrolet,29.0
42,1971 sport convertible,25000,1971.0,https://charlottesville.craigslist.org/cto/d/culpeper-1971-sport-convertible/7782818548.html,missing,54.0
43,dodge dakota 4wd,10000,,https://charlottesville.craigslist.org/cto/d/charlottesville-dodge-dakota-4wd/7782614108.html,dodge,
44,2014 bmw x3 with blown engine,3000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-bmw-x3-with-blown/7782218430.html,bmw,11.0
45,ford f150 5.4 triton,7250,,https://charlottesville.craigslist.org/cto/d/fishersville-ford-triton/7782209120.html,ford,
46,"2007 ford xlt fx, 4-dr., supercab, sidestyle, 5.4-liter v8",8300,2007.0,https://charlottesville.craigslist.org/cto/d/crozet-2007-ford-xlt-fx-dr-supercab/7782091017.html,ford,18.0
47,1999 mx-5 miata covertible coupe,6500,1999.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1999-mx-miata/7781918639.html,missing,26.0
48,dodge 4x4 slt,6000,,https://charlottesville.craigslist.org/cto/d/crozet-dodge-4x4-slt/7781868229.html,dodge,
49,1992 honda accord gas sipper,2899,1992.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1992-honda-accord-gas/7781862579.html,honda,33.0
50,2003 jeep wrangler,20000,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2003-jeep-wrangler/7781774156.html,jeep,22.0
51,yes i have title,2800,,https://charlottesville.craigslist.org/cto/d/charlottesville-yes-have-title/7781670977.html,missing,
52,2016 kia sorento,9500,2016.0,https://charlottesville.craigslist.org/cto/d/haywood-2016-kia-sorento/7781590995.html,kia,9.0
53,2008 acura tl,3500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-acura-tl/7781590435.html,acura,17.0
54,*for sale* subaru outback 2007,3900,2007.0,https://charlottesville.craigslist.org/cto/d/gordonsville-for-sale-subaru-outback/7781590306.html,subaru,18.0
55,audi allroad,11665,,https://charlottesville.craigslist.org/cto/d/charlottesville-audi-allroad/7781459189.html,audi,
56,2004 f150,3000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-f150/7781429289.html,missing,21.0
57,2011 mercury gran marquis ls,3600,2011.0,https://charlottesville.craigslist.org/cto/d/stanardsville-2011-mercury-gran-marquis/7781391243.html,missing,14.0
58,beautiful 2019 mercedes 300c convertible,31950,2019.0,https://charlottesville.craigslist.org/cto/d/charlottesville-beautiful-2019-mercedes/7781346288.html,missing,6.0
59,toyota corolla 2018,11000,2018.0,https://charlottesville.craigslist.org/cto/d/charlottesville-toyota-corolla-2018/7781210696.html,toyota,7.0
60,bmw x5,8500,,https://charlottesville.craigslist.org/cto/d/waynesboro-bmw-x5/7780668737.html,bmw,
61,2009 kia rondo ex 145k miles,3500,2009.0,https://charlottesville.craigslist.org/cto/d/louisa-2009-kia-rondo-ex-145k-miles/7780623128.html,kia,16.0
62,2002 gmc 3500 4x4 extended cab utility bed,8900,2002.0,https://charlottesville.craigslist.org/cto/d/piney-river-2002-gmc-x4-extended-cab/7780543822.html,gmc,23.0
63,volvo 240 sedan 1992,2100,1992.0,https://charlottesville.craigslist.org/cto/d/esmont-volvo-240-sedan-1992/7780475292.html,volvo,33.0
64,2006 hyundai azera limited,3250,2006.0,https://charlottesville.craigslist.org/cto/d/quinque-2006-hyundai-azera-limited/7780464989.html,missing,19.0
65,2018 subaru forester 2.5i touring cvt,23500,2018.0,https://charlottesville.craigslist.org/cto/d/roseland-2018-subaru-forester-25i/7780319702.html,subaru,7.0
66,car for sale,10000,,https://charlottesville.craigslist.org/cto/d/waynesboro-car-for-sale/7780257892.html,missing,
67,1969 chevelle for sale or trade,28500,1969.0,https://charlottesville.craigslist.org/cto/d/barboursville-1969-chevelle-for-sale-or/7780220803.html,missing,56.0
68,1989 chevrolet corvette convertible,5000,1989.0,https://charlottesville.craigslist.org/cto/d/scottsville-1989-chevrolet-corvette/7779874166.html,chevrolet,36.0
69,2008 toyota prius,7500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-toyota-prius/7779766112.html,toyota,17.0
70,2021 toyota rav 4 prime hybrid,38000,2021.0,https://charlottesville.craigslist.org/cto/d/earlysville-2021-toyota-rav-prime-hybrid/7779746384.html,toyota,4.0
71,2007 2500 gmc sierra hd classic,4500,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-gmc-sierra-hd-classic/7779516916.html,gmc,18.0
72,2019 ram promaster 1500,18500,2019.0,https://charlottesville.craigslist.org/cto/d/crozet-2019-ram-promaster-1500/7779509064.html,missing,6.0
73,1958 ford fairlane 500,18500,1958.0,https://charlottesville.craigslist.org/cto/d/leon-1958-ford-fairlane-500/7779305738.html,ford,67.0
74,2014 honda crv ex-l,13000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-honda-crv-ex/7779300072.html,honda,11.0
75,2005 ford f-150 2wd- not running,1000,2005.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2005-ford-150-2wd-not/7779296183.html,ford,20.0
76,bmw gt,10000,,https://charlottesville.craigslist.org/cto/d/charlottesville-bmw-gt/7779123777.html,bmw,
77,2001 mercedes e320,3000,2001.0,https://charlottesville.craigslist.org/cto/d/scottsville-2001-mercedes-e320/7779120462.html,missing,24.0
78,2007 subaru outback,2500,2007.0,https://charlottesville.craigslist.org/cto/d/oakpark-2007-subaru-outback/7778984172.html,subaru,18.0
79,1974 dodge stepside 426 hemi,10500,1974.0,https://charlottesville.craigslist.org/cto/d/leon-1974-dodge-stepside-426-hemi/7778782192.html,dodge,51.0
80,2018 tesla model 3 mid range or 2018 tesla model s75d awd,16900,2018.0,https://charlottesville.craigslist.org/cto/d/henrico-2018-tesla-model-mid-range-or/7778737328.html,tesla,7.0
81,2007 ford explorer,2000,2007.0,https://charlottesville.craigslist.org/cto/d/dyke-2007-ford-explorer/7778524782.html,ford,18.0
82,2013 mercedes-benz c 250 cls 4d — very good condition,7999,2013.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2013-mercedes-benz-250/7778509247.html,missing,12.0
83,2017 range rover black edition obo,35000,2017.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2017-range-rover-black/7778267901.html,missing,8.0
84,2017 ford escape,18995,2017.0,https://charlottesville.craigslist.org/cto/d/amherst-2017-ford-escape/7778011749.html,ford,8.0
85,2008 honda crv exl awd,5300,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-honda-crv-exl-awd/7777943177.html,honda,17.0
86,2016 jeep renegade latitude * great condition - no accidents *,10495,2016.0,https://charlottesville.craigslist.org/cto/d/white-hall-2016-jeep-renegade-latitude/7777823914.html,jeep,9.0
87,1995 f-250,7500,1995.0,https://charlottesville.craigslist.org/cto/d/stanardsville-1995-250/7777405295.html,missing,30.0
88,2007 bmw 530i,1800,2007.0,https://charlottesville.craigslist.org/cto/d/quinque-2007-bmw-530i/7777314629.html,bmw,18.0
89,2016 hyundai elantra gt,12500,2016.0,https://charlottesville.craigslist.org/cto/d/crozet-2016-hyundai-elantra-gt/7777297196.html,missing,9.0
90,2007 mercedes benz c280 or 2008 benz e500 4matic $3950,4950,2007.0,https://charlottesville.craigslist.org/cto/d/henrico-2007-mercedes-benz-c280-or-2008/7777197591.html,missing,18.0
91,2002 volkswagen passat,1250,2002.0,https://charlottesville.craigslist.org/cto/d/scottsville-2002-volkswagen-passat/7776677494.html,volkswagen,23.0
